id,Elevation,Aspect,Slope,Wilderness,Soil_Type,Hillshade_9am,Hillshade_noon,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Fire_Points,Labels
11025,elevation_medium,aspect_high,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_max,0,0,low,0
11026,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,low,2
11027,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,mid,0
11028,elevation_medium,aspect_high,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_max,3,3,mid,5
11029,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,2,low,4
11030,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,1,0,low,0
11031,elevation_medium,aspect_ultra,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,1,low,2
11032,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,low,2
11033,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_min,1,1,low,2
11034,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,mid,0
11035,elevation_low,aspect_medium,slope_medium,comanche,ratake_a,hillshade_9am_max,hillnoon_min,2,1,low,4
11036,elevation_medium,aspect_medium,slope_medium,comanche,bullwark_b,hillshade_9am_max,hillnoon_min,4,3,low,4
11037,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,0,low,2
11038,elevation_medium,aspect_medium,slope_medium,comanche,bullwark_a,hillshade_9am_max,hillnoon_min,1,0,low,2
11039,elevation_medium,aspect_medium,slope_low,comanche,bullwark_a,hillshade_9am_max,hillnoon_min,0,0,low,2
11040,elevation_medium,aspect_low,slope_low,comanche,ratake_a,hillshade_9am_min,hillnoon_min,0,0,low,2
11041,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,mid,0
11042,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,0,low,4
11043,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,4,low,4
11044,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,0,low,2
11045,elevation_medium,aspect_ultra,slope_low,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,low,2
11046,elevation_medium,aspect_low,slope_low,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,low,0
11047,elevation_medium,aspect_low,slope_medium,comanche,ratake_a,hillshade_9am_min,hillnoon_min,0,0,low,2
11048,elevation_medium,aspect_low,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_min,3,3,low,1
11049,elevation_medium,aspect_medium,slope_high,comanche,vanet_a,hillshade_9am_max,hillnoon_min,1,1,low,2
11050,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,0,low,4
11051,elevation_medium,aspect_high,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,3,low,5
11052,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,low,2
11053,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,low,2
11054,elevation_medium,aspect_ultra,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,1,low,3
11055,elevation_medium,aspect_medium,slope_high,comanche,vanet_a,hillshade_9am_max,hillnoon_min,0,1,low,2
11056,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,low,3
11057,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,2,low,3
11058,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,low,2
11059,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,0,low,2
11060,elevation_medium,aspect_low,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_min,2,1,low,1
11061,elevation_medium,aspect_low,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,low,2
11062,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,3,3,low,4
11063,elevation_low,aspect_high,slope_medium,comanche,ratake_a,hillshade_9am_max,hillnoon_max,2,1,low,0
11064,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,low,3
11065,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,low,3
11066,elevation_medium,aspect_ultra,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,1,low,2
11067,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,1,low,3
11068,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_max,hillnoon_min,1,0,mid,2
11069,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,1,0,mid,2
11070,elevation_medium,aspect_medium,slope_medium,comanche,pachic_a,hillshade_9am_max,hillnoon_min,0,0,mid,2
11071,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,low,3
11072,elevation_medium,aspect_ultra,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,2,low,3
11073,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,1,low,3
11074,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,4,low,3
11075,elevation_medium,aspect_high,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,5,3,low,5
11076,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low,3
11077,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,3,low,3
11078,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,low,3
11079,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,mid,3
11080,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,mid,3
11081,elevation_medium,aspect_ultra,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_min,3,3,mid,1
11082,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,mid,0
11083,elevation_medium,aspect_high,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,5,4,low,5
11084,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,3,mid,3
11085,elevation_low,aspect_low,slope_high,comanche,pachic_a,hillshade_9am_min,hillnoon_min,0,0,low,2
11086,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low,3
11087,elevation_medium,aspect_ultra,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,3,low,3
11088,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low,3
11089,elevation_medium,aspect_low,slope_medium,comanche,ratake_a,hillshade_9am_min,hillnoon_min,4,4,mid,1
11090,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,2,3,mid,4
11091,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,3,low,5
11092,elevation_medium,aspect_high,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11093,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low,3
11094,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,mid,3
11095,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,2,3,low,4
11096,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,5,3,low,5
11097,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low,3
11098,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,0,low,3
11099,elevation_medium,aspect_low,slope_medium,comanche,ratake_a,hillshade_9am_min,hillnoon_min,4,4,mid,1
11100,elevation_medium,aspect_high,slope_medium,comanche,ratake_a,hillshade_9am_max,hillnoon_max,2,1,low,0
11101,elevation_low,aspect_medium,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_min,1,0,low,2
11102,elevation_medium,aspect_high,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11103,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,5,4,low,5
11104,elevation_medium,aspect_low,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_min,4,4,low,1
11105,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low,3
11106,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,0,mid,3
11107,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,0,mid,3
11108,elevation_medium,aspect_low,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_min,5,4,low,1
11109,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11110,elevation_medium,aspect_low,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_min,4,1,low,1
11111,elevation_medium,aspect_low,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_min,3,0,mid,1
11112,elevation_medium,aspect_low,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,0,mid,0
11113,elevation_medium,aspect_low,slope_medium,comanche,ratake_a,hillshade_9am_min,hillnoon_min,4,3,mid,1
11114,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,3,low,5
11115,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,3,low,4
11116,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11117,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,3,3,mid,4
11118,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,3,low,4
11119,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,3,low,5
11120,elevation_medium,aspect_high,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,0,mid,0
11121,elevation_medium,aspect_medium,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,5,1,low,1
11122,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11123,elevation_medium,aspect_high,slope_medium,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11124,elevation_medium,aspect_medium,slope_low,comanche,vanet_a,hillshade_9am_max,hillnoon_max,3,1,low,0
11125,elevation_medium,aspect_high,slope_medium,comanche,vanet_a,hillshade_9am_max,hillnoon_max,4,0,mid,0
11126,elevation_low,aspect_ultra,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,2,low,3
11127,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,3,low,5
11128,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11129,elevation_medium,aspect_ultra,slope_medium,comanche,pachic_a,hillshade_9am_min,hillnoon_max,0,1,mid,2
11130,elevation_medium,aspect_medium,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,1,low,1
11131,elevation_medium,aspect_high,slope_medium,comanche,ratake_a,hillshade_9am_max,hillnoon_max,3,0,mid,0
11132,elevation_medium,aspect_high,slope_low,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,0,mid,0
11133,elevation_low,aspect_ultra,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,1,low,2
11134,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,3,low,5
11135,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11136,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11137,elevation_low,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,1,low,3
11138,elevation_medium,aspect_ultra,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,3,low,3
11139,elevation_medium,aspect_ultra,slope_high,comanche,bullwark_b,hillshade_9am_min,hillnoon_min,3,3,low,3
11140,elevation_medium,aspect_medium,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_min,2,0,mid,2
11141,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,0,0,mid,2
11142,elevation_low,aspect_high,slope_low,comanche,pachic_a,hillshade_9am_max,hillnoon_max,0,0,mid,0
11143,elevation_medium,aspect_high,slope_low,comanche,cryaquolis_a,hillshade_9am_min,hillnoon_max,0,0,low,0
11144,elevation_medium,aspect_medium,slope_low,comanche,vanet_a,hillshade_9am_max,hillnoon_min,1,0,mid,2
11145,elevation_medium,aspect_ultra,slope_medium,comanche,bullwark_b,hillshade_9am_min,hillnoon_min,3,4,low,3
11146,elevation_medium,aspect_low,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_max,0,0,low,0
11147,elevation_medium,aspect_high,slope_high,comanche,cryaquolis_a,hillshade_9am_max,hillnoon_max,0,0,low,0
11148,elevation_medium,aspect_medium,slope_medium,comanche,vanet_a,hillshade_9am_max,hillnoon_min,2,1,low,4
11149,elevation_medium,aspect_high,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_max,2,1,low,0
11150,elevation_medium,aspect_high,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,1,low,5
11151,elevation_medium,aspect_high,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,0,0,mid,0
11152,elevation_medium,aspect_medium,slope_medium,comanche,ratake_a,hillshade_9am_max,hillnoon_min,0,0,mid,2
11153,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,mid,2
11154,elevation_medium,aspect_ultra,slope_low,comanche,bullwark_b,hillshade_9am_min,hillnoon_min,4,4,low,3
11155,elevation_medium,aspect_high,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_max,0,0,low,0
11156,elevation_medium,aspect_medium,slope_high,comanche,vanet_a,hillshade_9am_max,hillnoon_min,2,0,low,2
11157,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,mid,2
11158,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,0,mid,2
11159,elevation_medium,aspect_ultra,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,low,3
11160,elevation_medium,aspect_high,slope_low,comanche,cryaquolis_a,hillshade_9am_min,hillnoon_max,0,0,low,0
11161,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11162,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,0,low,0
11163,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low,3
11164,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low,3
11165,elevation_medium,aspect_ultra,slope_low,comanche,cryaquolis_a,hillshade_9am_min,hillnoon_max,0,0,low,2
11166,elevation_medium,aspect_high,slope_medium,comanche,vanet_a,hillshade_9am_max,hillnoon_max,0,0,low,0
11167,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,low,0
11168,elevation_medium,aspect_medium,slope_medium,comanche,ratake_a,hillshade_9am_max,hillnoon_max,1,0,mid,0
11169,elevation_medium,aspect_ultra,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,mid,3
11170,elevation_medium,aspect_high,slope_low,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11171,elevation_medium,aspect_high,slope_medium,comanche,cryaquolis_a,hillshade_9am_min,hillnoon_max,0,0,low,0
11172,elevation_medium,aspect_medium,slope_medium,comanche,ratake_a,hillshade_9am_max,hillnoon_min,2,0,mid,2
11173,elevation_medium,aspect_low,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_min,2,0,mid,2
11174,elevation_medium,aspect_low,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_min,3,1,mid,1
11175,elevation_medium,aspect_low,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_min,3,0,mid,1
11176,elevation_medium,aspect_medium,slope_ultra,comanche,bullwark_a,hillshade_9am_max,hillnoon_min,1,1,low,4
11177,elevation_medium,aspect_high,slope_medium,comanche,cryaquolis_a,hillshade_9am_min,hillnoon_max,0,0,low,0
11178,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,4,low,5
11179,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11180,elevation_medium,aspect_low,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_min,3,1,mid,1
11181,elevation_medium,aspect_ultra,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_min,3,1,mid,1
11182,elevation_medium,aspect_ultra,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,low,2
11183,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,1,low,3
11184,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11185,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11186,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11187,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,0,mid,4
11188,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,0,mid,0
11189,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11190,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,0,mid,4
11191,elevation_medium,aspect_ultra,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,1,low,2
11192,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,3,low,5
11193,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11194,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,0,mid,5
11195,elevation_medium,aspect_high,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,0,mid,0
11196,elevation_medium,aspect_medium,slope_high,comanche,bullwark_a,hillshade_9am_max,hillnoon_min,3,2,low,4
11197,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,4,low,5
11198,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,4,low,5
11199,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_max,4,0,mid,0
11200,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,0,mid,4
11201,elevation_medium,aspect_high,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,4,mid,5
11202,elevation_medium,aspect_high,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_max,0,0,low,0
11203,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low,5
11204,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_max,4,3,mid,5
11205,elevation_medium,aspect_high,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,0,mid,5
11206,elevation_medium,aspect_high,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,4,mid,5
11207,elevation_medium,aspect_high,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,4,mid,5
11208,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,2,low,3
11209,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,2,3,low,5
11210,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,mid,5
11211,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_max,4,3,mid,5
11212,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,low,3
11213,elevation_medium,aspect_ultra,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,3,mid,1
11214,elevation_medium,aspect_high,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,3,mid,5
11215,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,3,low,3
11216,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,3,mid,5
11217,elevation_medium,aspect_high,slope_medium,comanche,vanet_a,hillshade_9am_max,hillnoon_max,4,3,mid,5
11218,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,low,3
11219,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,0,low,2
11220,elevation_medium,aspect_high,slope_high,comanche,cryaquolis_a,hillshade_9am_min,hillnoon_max,0,0,low,0
11221,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,2,2,low,5
11222,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,3,mid,5
11223,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_max,3,3,mid,5
11224,elevation_medium,aspect_ultra,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,2,low,3
11225,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low,3
11226,elevation_medium,aspect_high,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_max,0,0,low,0
11227,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,1,low,3
11228,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,1,1,mid,0
11229,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,2,1,mid,0
11230,elevation_medium,aspect_low,slope_high,comanche,bullwark_b,hillshade_9am_min,hillnoon_min,4,4,low,3
11231,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low,3
11232,elevation_medium,aspect_low,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,2,low,4
11233,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,1,low,2
