id,Elevation,Aspect,Slope,Wilderness,Soil_Type,Hillshade_9am,Hillshade_noon,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Fire_Points
11092,elevation_medium,aspect_high,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,4,low
11093,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low
11094,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,mid
11095,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,2,3,low
11096,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,5,3,low
11097,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low
11098,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,0,low
11099,elevation_medium,aspect_low,slope_medium,comanche,ratake_a,hillshade_9am_min,hillnoon_min,4,4,mid
11100,elevation_medium,aspect_high,slope_medium,comanche,ratake_a,hillshade_9am_max,hillnoon_max,2,1,low
11101,elevation_low,aspect_medium,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_min,1,0,low
11102,elevation_medium,aspect_high,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,4,low
11103,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,5,4,low
11104,elevation_medium,aspect_low,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_min,4,4,low
11105,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low
11106,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,0,mid
11107,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,0,mid
11108,elevation_medium,aspect_low,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_min,5,4,low
11109,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low
11110,elevation_medium,aspect_low,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_min,4,1,low
11111,elevation_medium,aspect_low,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_min,3,0,mid
11112,elevation_medium,aspect_low,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,0,mid
11113,elevation_medium,aspect_low,slope_medium,comanche,ratake_a,hillshade_9am_min,hillnoon_min,4,3,mid
11114,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,3,low
11115,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,3,low
11116,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low
11117,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,3,3,mid
11118,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,3,low
11119,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,3,low
11120,elevation_medium,aspect_high,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,0,mid
11121,elevation_medium,aspect_medium,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,5,1,low
11122,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low
11123,elevation_medium,aspect_high,slope_medium,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low
11124,elevation_medium,aspect_medium,slope_low,comanche,vanet_a,hillshade_9am_max,hillnoon_max,3,1,low
11125,elevation_medium,aspect_high,slope_medium,comanche,vanet_a,hillshade_9am_max,hillnoon_max,4,0,mid
11126,elevation_low,aspect_ultra,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,2,low
11127,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,3,low
11128,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low
11129,elevation_medium,aspect_ultra,slope_medium,comanche,pachic_a,hillshade_9am_min,hillnoon_max,0,1,mid
11130,elevation_medium,aspect_medium,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,1,low
11131,elevation_medium,aspect_high,slope_medium,comanche,ratake_a,hillshade_9am_max,hillnoon_max,3,0,mid
11132,elevation_medium,aspect_high,slope_low,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,0,mid
11133,elevation_low,aspect_ultra,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,1,low
11134,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,3,low
11135,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low
11136,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low
11137,elevation_low,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,1,low
11138,elevation_medium,aspect_ultra,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,3,low
11139,elevation_medium,aspect_ultra,slope_high,comanche,bullwark_b,hillshade_9am_min,hillnoon_min,3,3,low
11140,elevation_medium,aspect_medium,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_min,2,0,mid
11141,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,0,0,mid
11142,elevation_low,aspect_high,slope_low,comanche,pachic_a,hillshade_9am_max,hillnoon_max,0,0,mid
11143,elevation_medium,aspect_high,slope_low,comanche,cryaquolis_a,hillshade_9am_min,hillnoon_max,0,0,low
11144,elevation_medium,aspect_medium,slope_low,comanche,vanet_a,hillshade_9am_max,hillnoon_min,1,0,mid
11145,elevation_medium,aspect_ultra,slope_medium,comanche,bullwark_b,hillshade_9am_min,hillnoon_min,3,4,low
11146,elevation_medium,aspect_low,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_max,0,0,low
11147,elevation_medium,aspect_high,slope_high,comanche,cryaquolis_a,hillshade_9am_max,hillnoon_max,0,0,low
11148,elevation_medium,aspect_medium,slope_medium,comanche,vanet_a,hillshade_9am_max,hillnoon_min,2,1,low
11149,elevation_medium,aspect_high,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_max,2,1,low
11150,elevation_medium,aspect_high,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,1,low
11151,elevation_medium,aspect_high,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,0,0,mid
11152,elevation_medium,aspect_medium,slope_medium,comanche,ratake_a,hillshade_9am_max,hillnoon_min,0,0,mid
11153,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,mid
11154,elevation_medium,aspect_ultra,slope_low,comanche,bullwark_b,hillshade_9am_min,hillnoon_min,4,4,low
11155,elevation_medium,aspect_high,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_max,0,0,low
11156,elevation_medium,aspect_medium,slope_high,comanche,vanet_a,hillshade_9am_max,hillnoon_min,2,0,low
11157,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,mid
11158,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,0,mid
11159,elevation_medium,aspect_ultra,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,low
11160,elevation_medium,aspect_high,slope_low,comanche,cryaquolis_a,hillshade_9am_min,hillnoon_max,0,0,low
11161,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low
11162,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,0,low
11163,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low
11164,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low
11165,elevation_medium,aspect_ultra,slope_low,comanche,cryaquolis_a,hillshade_9am_min,hillnoon_max,0,0,low
11166,elevation_medium,aspect_high,slope_medium,comanche,vanet_a,hillshade_9am_max,hillnoon_max,0,0,low
11167,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,low
11168,elevation_medium,aspect_medium,slope_medium,comanche,ratake_a,hillshade_9am_max,hillnoon_max,1,0,mid
11169,elevation_medium,aspect_ultra,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,mid
11170,elevation_medium,aspect_high,slope_low,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low
11171,elevation_medium,aspect_high,slope_medium,comanche,cryaquolis_a,hillshade_9am_min,hillnoon_max,0,0,low
11172,elevation_medium,aspect_medium,slope_medium,comanche,ratake_a,hillshade_9am_max,hillnoon_min,2,0,mid
11173,elevation_medium,aspect_low,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_min,2,0,mid
11174,elevation_medium,aspect_low,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_min,3,1,mid
11175,elevation_medium,aspect_low,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_min,3,0,mid
11176,elevation_medium,aspect_medium,slope_ultra,comanche,bullwark_a,hillshade_9am_max,hillnoon_min,1,1,low
11177,elevation_medium,aspect_high,slope_medium,comanche,cryaquolis_a,hillshade_9am_min,hillnoon_max,0,0,low
11178,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,4,low
11179,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low
11180,elevation_medium,aspect_low,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_min,3,1,mid
11181,elevation_medium,aspect_ultra,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_min,3,1,mid
11182,elevation_medium,aspect_ultra,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,low
11183,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,1,low
11184,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low
11185,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low
11186,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low
11187,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,0,mid
11188,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,0,mid
11189,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low
11190,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,0,mid
11191,elevation_medium,aspect_ultra,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,1,low
11192,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,3,low
11193,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low
11194,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,0,mid
11195,elevation_medium,aspect_high,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,0,mid
11196,elevation_medium,aspect_medium,slope_high,comanche,bullwark_a,hillshade_9am_max,hillnoon_min,3,2,low
11197,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,4,low
11198,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,4,low
11199,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_max,4,0,mid
11200,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,0,mid
11201,elevation_medium,aspect_high,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,4,mid
11202,elevation_medium,aspect_high,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_max,0,0,low
11203,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,low
11204,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_max,4,3,mid
11205,elevation_medium,aspect_high,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,0,mid
11206,elevation_medium,aspect_high,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,4,mid
11207,elevation_medium,aspect_high,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,4,mid
11208,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,2,low
11209,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,2,3,low
11210,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,4,mid
11211,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_max,4,3,mid
11212,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,low
11213,elevation_medium,aspect_ultra,slope_medium,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,3,mid
11214,elevation_medium,aspect_high,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,3,mid
11215,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,3,low
11216,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,3,mid
11217,elevation_medium,aspect_high,slope_medium,comanche,vanet_a,hillshade_9am_max,hillnoon_max,4,3,mid
11218,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,low
11219,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,0,low
11220,elevation_medium,aspect_high,slope_high,comanche,cryaquolis_a,hillshade_9am_min,hillnoon_max,0,0,low
11221,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,2,2,low
11222,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,3,mid
11223,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_max,3,3,mid
11224,elevation_medium,aspect_ultra,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,2,low
11225,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low
11226,elevation_medium,aspect_high,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_max,0,0,low
11227,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,1,low
11228,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,1,1,mid
11229,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,2,1,mid
11230,elevation_medium,aspect_low,slope_high,comanche,bullwark_b,hillshade_9am_min,hillnoon_min,4,4,low
11231,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low
11232,elevation_medium,aspect_low,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,2,low
11233,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,1,low
11234,elevation_medium,aspect_low,slope_high,comanche,bullwark_b,hillshade_9am_min,hillnoon_min,4,4,low
11235,elevation_medium,aspect_low,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_min,4,3,low
11236,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,1,low
11237,elevation_medium,aspect_low,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,mid
11238,elevation_medium,aspect_high,slope_medium,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,mid
11239,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,4,low
11240,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,2,low
11241,elevation_medium,aspect_high,slope_low,comanche,cryaquolis_a,hillshade_9am_min,hillnoon_max,0,0,mid
